Model,RACE
,Cost (100 samples)
Open-Source SLLMs,
google/gemma-3-12b-it,$0.02
qwen/qwen3-8b,$0.01
microsoft/phi-4,$0.02
nvidia/nemotron-nano-9b-v2,$0.02
meta-llama/llama-3.2-11b-vision-instruct,$0.04
Open-Source SLLMs + Multi-Agent,
google/gemma-3-12b-it,$0.21
qwen/qwen3-8b,$0.18
microsoft/phi-4,$0.19
nvidia/nemotron-nano-9b-v2,$0.30
meta-llama/llama-3.1-8b-instruct,$0.47
Proprietary LLMs,
google/gemini-3-flash-preview,$0.46
openai/gpt-5-mini,$0.26
anthropic/claude-haiku-4.5,$0.80
