,,,,
,,,,
,,,,
CLEAN,,,,
Model,CER,WER,,
DeepSeek OCR 2,0.0681,0.0948,,
DotOCR 1.5,0.0075,0.0172,,
MinerU 2.5,0.0252,0.0427,, 
PaddleOCR VL 1.5,0.0113,0.0232,,
,,,,
google/gemini-3-flash-preview,0.0084,0.0141,,
openai/gpt-5-mini,0.0150,0.0209,,
anthropic/claude-haiku-4.5,0.0238,0.0337,,
,,,,
,,,,
AUGMENTED,,,,
Model,CER,WER,,
DeepSeek OCR 2,0.1158,0.1579,,
DotOCR 1.5,0.1467,0.1771,,
MinerU 2.5,0.1079,0.2769,,
PaddleOCR VL 1.5,0.1143,0.1473,,
,,,,
google/gemini-3-flash-preview,0.0204,0.0326,,
openai/gpt-5-mini,0.0269,0.0409,,
anthropic/claude-haiku-4.5,0.1799,0.1932,,
